Source,Topic Name,Link
The Times of India,coronavirus,https://timesofindia.indiatimes.com/india/mahabharata-battle-won-in-18-days-war-against-coronavirus-will-take-21-days-pm-modi/articleshow/74813107.cms
The Times of India,coronavirus,https://timesofindia.indiatimes.com/india/pm-modi-pitches-for-new-crisis-management-protocol-at-g20-video-conference-on-coronavirus/articleshow/74835011.cms
The Times of India,coronavirus,https://timesofindia.indiatimes.com/india/will-pray-for-health-safety-of-those-engaged-in-combating-coronavirus-pm-modi/articleshow/74803314.cms
The Times of India,coronavirus,https://timesofindia.indiatimes.com/india/congress-stands-with-nation-to-fight-coronavirus-manmohan-singh/articleshow/74944318.cms
The Times of India,coronavirus,https://timesofindia.indiatimes.com/india/coronavirus-congress-constitutes-task-force-to-handle-situation-in-party-ruled-states/articleshow/74864058.cms
The Times of India,coronavirus,https://timesofindia.indiatimes.com/india/increase-coronavirus-testing-facilitate-rabi-crop-harvest-congress-to-govt/articleshow/74920361.cms
The Times of India,coronavirus,https://timesofindia.indiatimes.com/india/sonia-gandhi-slams-govt-for-unplanned-lockdown-bjp-hits-back/articleshow/74953371.cms
The Times of India,coronavirus,https://timesofindia.indiatimes.com/india/country-should-have-taken-coronavirus-threat-more-seriously-congress/articleshow/74792879.cms
The Times of India,coronavirus,https://timesofindia.indiatimes.com/india/congress-demands-more-testing-for-coronavirus-asks-govt-to-set-up-task-force-for-reviving-economy/articleshow/74950354.cms
The Times of India,coronavirus,https://timesofindia.indiatimes.com/india/will-support-every-effort-of-govt-in-battle-against-coronavirus-congress/articleshow/74718283.cms
The Times of India,coronavirus,https://timesofindia.indiatimes.com/india/coronavirus-sonia-gandhi-criticises-govt-for-unplanned-lockdown-calls-for-proactive-steps/articleshow/74945517.cms
The Times of India,coronavirus,https://timesofindia.indiatimes.com/india/congress-sets-up-central-control-room-to-coordinate-coronavirus-related-matters-with-states/articleshow/74889127.cms
The Times of India,coronavirus,https://timesofindia.indiatimes.com/city/goa/congress-demands-resignation-of-goa-cm-for-mishandling-coronavirus-lockdown/articleshow/74850908.cms
The Times of India,coronavirus,https://timesofindia.indiatimes.com/india/congress-demands-law-against-any-retrenchment-in-private-sector-till-august/articleshow/74892411.cms
The Times of India,coronavirus,https://timesofindia.indiatimes.com/india/why-have-party-specific-covid-19-fund-congress-asks-bjp/articleshow/74918174.cms
