,Source,Link
17,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=Citizenship+amendment&turl=http%3A%2F%2Fddnews.gov.in%2Finternational%2Fssfn-%C2%A0join-nepal-communist-party-led-govt&encid=98be747a2b7629e2661ea699d2f0cd5c&rank=8&encoded_url=http%3A%2F%2Fddnews.gov.in%2Finternational%2Fssfn-%25C2%25A0join-nepal-communist-party-led-govt
18,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=nrc&turl=http%3A%2F%2Fddnews.gov.in%2Fvideos%2Fnational%2Fassam-floods-high-level-central-team-led-kiren-rijiju-visits-guwahati&encid=9210cbe35c17bf90f128b31286c35ef5&rank=30&encoded_url=http%3A%2F%2Fddnews.gov.in%2Fvideos%2Fnational%2Fassam-floods-high-level-central-team-led-kiren-rijiju-visits-guwahati
19,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=nrc&turl=http%3A%2F%2Fddnews.gov.in%2Ftransforming-india%2Fground-report-assam-ujjawala-scheme-promotes-energy-efficient-lighting-guwahati&encid=c47549aee1efda966e3abf1ac4faf0ef&rank=31&encoded_url=http%3A%2F%2Fddnews.gov.in%2Ftransforming-india%2Fground-report-assam-ujjawala-scheme-promotes-energy-efficient-lighting-guwahati
20,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=nrc&turl=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fhome-minister-development-ne-region-vital-countrys-progress&encid=a91e21d45379719907e30d56e2e288ab&rank=23&encoded_url=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fhome-minister-development-ne-region-vital-countrys-progress
21,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=nrc&turl=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fhm-amit-shah-offer-prayers-kamakhya-devi-temple-guwahati%C2%A0&encid=c093076ebf45c5a956bc94f8e6f606c8&rank=26&encoded_url=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fhm-amit-shah-offer-prayers-kamakhya-devi-temple-guwahati%25C2%25A0
22,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=nrc&turl=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fhome-ministernrc-being-updated-impartial-manner&encid=048977153a8f91200904735d4bab5fd7&rank=19&encoded_url=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fhome-ministernrc-being-updated-impartial-manner
23,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=nrc&turl=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fnrc-assam-cm-asks-people-not-panic-govt-provide-legal-aid-poor&encid=4b3fbb514959d02a6df15f2e43c6b780&rank=16&encoded_url=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fnrc-assam-cm-asks-people-not-panic-govt-provide-legal-aid-poor
24,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=nrc&turl=http%3A%2F%2Fddnews.gov.in%2Fnational%2Ffour-cadres-national-socialist-council-nagaland-nscn-k-and-assam-rifles-ar-officer-were&encid=d30442bd482cb2b5ffb90880daeba47f&rank=33&encoded_url=http%3A%2F%2Fddnews.gov.in%2Fnational%2Ffour-cadres-national-socialist-council-nagaland-nscn-k-and-assam-rifles-ar-officer-were
25,DDNews,http://goisearch.gov.in/ClickedLink?searchKeyword=nrc&turl=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fno-change-status-quo-doklam-site-sushma-swaraj&encid=8bd0ad7d4d9cafa0d3de16e6c831bbb3&rank=38&encoded_url=http%3A%2F%2Fddnews.gov.in%2Fnational%2Fno-change-status-quo-doklam-site-sushma-swaraj
26,DDNews,http://ddnews.gov.in/national/government-asks-states-strictly-implement-lockdown-measures-covid-19
